2025-09-12 20:01:43.087000+00:00| INFO | kafka_consumer | Inserted 50 rows to ticks_db.
2025-09-12 20:01:44.091000+00:00| INFO | kafka_consumer | Inserted 19 rows to ticks_db.
2025-09-12 20:01:45.187000+00:00| INFO | kafka_consumer | Inserted 16 rows to ticks_db.
2025-09-12 20:01:45.348000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:45.419000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:46.142000+00:00| INFO | kafka_consumer | Inserted 36 rows to ticks_db.
2025-09-12 20:01:47.263000+00:00| INFO | kafka_consumer | Inserted 35 rows to ticks_db.
2025-09-12 20:01:47.311000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:47.753000+00:00| INFO | monitoring | Inserted ticks monitoring data for 606 messages.
2025-09-12 20:01:47.793000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:01:49.276000+00:00| INFO | kafka_consumer | Inserted 82 rows to ticks_db.
2025-09-12 20:01:49.370000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:49.443000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:50.332000+00:00| INFO | kafka_consumer | Inserted 5 rows to ticks_db.
2025-09-12 20:01:50.369000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:01:51.310000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-09-12 20:01:52.288000+00:00| INFO | kafka_consumer | Inserted 98 rows to ticks_db.
2025-09-12 20:01:52.857000+00:00| INFO | monitoring | Inserted ticks monitoring data for 638 messages.
2025-09-12 20:01:52.870000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:01:53.275000+00:00| INFO | kafka_consumer | Inserted 4 rows to ticks_db.
2025-09-12 20:01:54.275000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-09-12 20:01:55.535000+00:00| INFO | kafka_consumer | Inserted 8 rows to ticks_db.
2025-09-12 20:01:56.526000+00:00| INFO | kafka_consumer | Inserted 51 rows to ticks_db.
2025-09-12 20:01:57.504000+00:00| INFO | kafka_consumer | Inserted 48 rows to ticks_db.
2025-09-12 20:01:58.008000+00:00| INFO | monitoring | Inserted ticks monitoring data for 113 messages.
2025-09-12 20:01:58.020000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:01:59.265000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-09-12 20:02:00.295000+00:00| INFO | kafka_consumer | Inserted 8 rows to ticks_db.
2025-09-12 20:02:01.412000+00:00| INFO | kafka_consumer | Inserted 7 rows to ticks_db.
2025-09-12 20:02:01.466000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:02:02.329000+00:00| INFO | kafka_consumer | Inserted 97 rows to ticks_db.
2025-09-12 20:02:03.106000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:02:03.128000+00:00| INFO | monitoring | Inserted ticks monitoring data for 265 messages.
2025-09-12 20:02:03.348000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-09-12 20:02:04.362000+00:00| INFO | kafka_consumer | Inserted 15 rows to ticks_db.
2025-09-12 20:02:05.406000+00:00| INFO | kafka_consumer | Inserted 24 rows to ticks_db.
2025-09-12 20:02:05.472000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:02:06.621000+00:00| INFO | kafka_consumer | Inserted 56 rows to ticks_db.
2025-09-12 20:02:06.750000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-09-12 20:02:06.831000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
